modelo,anoModelo,mesReferencia,anoReferencia,valor
MARRUÁ AM 100 2.8 CD TDI Diesel,2022,10,2008,116689.0
MARRUÁ 2.8 12V 132cv TDI Diesel,2022,1,2007,101845.0
MARRUÁ AM 200 2.8 CS TDI Diesel,2022,11,2009,111184.0
MARRUÁ 2.8 12V 132cv TDI Diesel,2022,7,2006,86649.0
MARRUÁ AM 200 2.8 CS TDI Diesel,2022,2,2010,109020.0
MARRUÁ 2.8 12V 132cv TDI Diesel,2022,11,2005,83097.0
MARRUÁ AM 50 2.8 140cv TDI Diesel,2022,12,2008,108815.0
156 TS/Sport/Elegant 2.0 16V,2002,3,2011,29759.0
145 Elegant 2.0 16V,1998,4,2010,16717.0
164 Super V6 24V,1996,5,2012,17715.0
155,1997,7,2003,18450.0
155,1997,12,2010,15923.0
145 Quadrifoglio 2.0,1999,7,2018,14225.0
156 2.5 V6 24V 190cv 4p Aut.,2003,3,2008,76974.0
155,1997,6,2005,17839.0
Spider 2.0/3.0,1997,8,2009,45581.0
145 Elegant 1.7/1.8 16V,1999,7,2019,13109.0
164 Super V6 24V,1996,4,2012,17932.0
145 QV,1998,1,2008,20345.0
145 QV,1998,9,2015,14588.0
145 Elegant 1.7/1.8 16V,1999,3,2013,15814.0
145 Elegant 2.0 16V,1998,3,2020,12868.0
166 3.0 V6 24V,2003,3,2020,45420.0
145 Elegant 2.0 16V,1998,5,2019,13239.0
155 Super,1997,7,2009,17375.0
156 2.5 V6 24V 190cv 4p Aut.,2003,8,2020,48856.0
145 Quadrifoglio 2.0,1999,10,2019,14197.0
Spider 2.0/3.0,1997,2,2009,49981.0
166 3.0 V6 24V,2003,4,2008,92592.0
Spider 2.0/3.0,1997,4,2001,46027.0
164 3.0 V6,1996,3,2008,15314.0
155 Super,1997,7,2004,19745.0
156 TS/Sport/Elegant 2.0 16V,2002,10,2005,61672.0
145 Elegant 1.7/1.8 16V,1999,1,2019,13212.0
145 QV,1998,9,2009,18356.0
156 Sport Wagon 2.0 16V,2002,8,2005,66268.0
145 Elegant 1.7/1.8 16V,1999,12,2006,19568.0
156 Sport Wagon 2.0 16V,2002,1,2011,31939.0
156 Sport Wagon 2.0 16V,2002,9,2019,25920.0
155,1997,11,2017,14154.0
164 Super V6 24V,1996,2,2022,20478.0
156 Sport Wagon 2.0 16V,2002,10,2018,26919.0
156 2.5 V6 24V 190cv 4p Aut.,2003,8,2019,44803.0
164 3.0 V6,1996,2,2007,15901.0
145 QV,1998,8,2022,22915.0
156 TS/Sport/Elegant 2.0 16V,2002,10,2010,29514.0
156 Sport Wagon 2.5 V6 24V 4p Aut.,2003,4,2007,96478.0
156 Sport Wagon 2.0 16V,2002,4,2011,31675.0
164 Super V6 24V,1996,3,2013,19202.0
156 TS/Sport/Elegant 2.0 16V,2002,3,2007,51874.0
156 Sport Wagon 2.0 16V,2002,2,2012,31979.0
156 Sport Wagon 2.0 16V,2002,12,2004,68091.0
145 QV,1998,4,2013,15500.0
166 3.0 V6 24V,2022,4,2002,139759.0
156 TS/Sport/Elegant 2.0 16V,2002,7,2004,67061.0
145 Elegant 2.0 16V,1998,12,2020,12543.0
164 Super V6 24V,1996,1,2007,18490.0
2300 TI/TI-4,1986,8,2012,6850.0
156 2.5 V6 24V 190cv 4p Aut.,2003,2,2012,47515.0
164 3.0 V6,1996,7,2004,16606.0
155 Super,1997,9,2002,21680.0
145 Elegant 2.0 16V,1998,1,2019,13391.0
145 Quadrifoglio 2.0,1999,10,2003,22795.0
155 Super,1997,1,2007,18593.0
145 Elegant 2.0 16V,1998,7,2009,18067.0
156 TS/Sport/Elegant 2.0 16V,2002,7,2007,50311.0
156 Sport Wagon 2.0 16V,2002,8,2012,32952.0
166 3.0 V6 24V,2003,8,2021,47856.0
145 Elegant 2.0 16V,1998,7,2021,13320.0
147 2.0 16V 148cv 4p Semi-Aut.,2005,10,2021,56675.0
156 Sport Wagon 2.0 16V,2002,3,2007,52992.0
155 Super,1997,6,2011,16098.0
145 Elegant 1.7/1.8 16V,1999,4,2001,28285.0
147 2.0 16V 148cv 4p Semi-Aut.,2022,10,2007,113285.0
147 2.0 16V 148cv 4p Semi-Aut.,2005,12,2008,81316.0
156 2.5 V6 24V 190cv 4p Aut.,2003,2,2014,45958.0
155,1997,5,2003,19771.0
155,1997,3,2010,16324.0
145 QV,1998,2,2018,15013.0
145 QV,1998,4,2009,19402.0
147 2.0 16V 148cv 4p Semi-Aut.,2005,5,2012,56767.0
155,1997,7,2019,12525.0
145 Quadrifoglio 2.0,1999,10,2020,13714.0
156 Sport Wagon 2.5 V6 24V 4p Aut.,2004,7,2017,41111.0
145 QV,1998,10,2009,18239.0
164 3.0 V6,1996,3,2020,12359.0
155,1997,1,2004,17996.0
156 Sport Wagon 2.5 V6 24V 4p Aut.,2004,3,2009,81428.0
145 Quadrifoglio 2.0,1999,2,2019,14288.0
164 Super V6 24V,1996,10,2021,18543.0
156 Sport Wagon 2.0 16V,2002,8,2019,25972.0
156 Sport Wagon 2.5 V6 24V 4p Aut.,2004,6,2015,42987.0
156 Sport Wagon 2.0 16V,2002,2,2019,26219.0
166 3.0 V6 24V,2003,7,2021,46507.0
155,1997,6,2020,12139.0
156 Sport Wagon 2.5 V6 24V 4p Aut.,2004,3,2015,43426.0
156 Sport Wagon 2.0 16V,2002,9,2005,65097.0
Spider 2.0/3.0,1997,10,2007,55362.0
145 Quadrifoglio 2.0,1999,8,2015,15912.0
155 Super,1997,10,2014,16140.0
156 2.5 V6 24V 190cv 4p Aut.,2003,12,2019,48246.0
145 Elegant 2.0 16V,1998,6,2009,17824.0
166 3.0 V6 24V,2003,1,2018,51176.0
145 QV,1998,4,2020,14183.0
145 Quadrifoglio 2.0,1999,12,2006,22218.0
155 Super,1997,5,2009,17050.0
Spider 2.0/3.0,1997,5,2021,71800.0
Spider 2.0/3.0,1997,11,2017,63603.0
Spider 2.0/3.0,1997,5,2016,65904.0
145 Quadrifoglio 2.0,1999,3,2006,23067.0
Spider 2.0/3.0,1997,6,2021,72868.0
147 2.0 16V 148cv 4p Semi-Aut.,2005,8,2013,60928.0
155 Super,1997,1,2002,21751.0
145 Elegant 1.7/1.8 16V,1999,8,2017,13620.0
156 Sport Wagon 2.0 16V,2002,4,2022,29382.0
156 TS/Sport/Elegant 2.0 16V,2002,4,2005,62973.0
145 QV,1998,1,2011,16902.0
145 Elegant 1.7/1.8 16V,1999,5,2018,13327.0
2300 TI/TI-4,1986,1,2011,7888.0
145 Elegant 2.0 16V,1998,3,2019,13315.0
147 2.0 16V 148cv 4p Semi-Aut.,2005,8,2015,56750.0
155 Super,1997,7,2003,19720.0
164 Super V6 24V,1996,8,2022,22076.0
145 Quadrifoglio 2.0,1999,2,2010,19451.0
147 2.0 16V 148cv 4p Semi-Aut.,2005,1,2011,57568.0
145 QV,1998,11,2005,21991.0
155,1997,3,2005,17646.0
2300 TI/TI-4,1986,10,2018,7787.0
156 Sport Wagon 2.5 V6 24V 4p Aut.,2004,8,2021,36484.0
156 TS/Sport/Elegant 2.0 16V,2022,10,2001,73253.0
164 3.0 V6,1996,12,2009,14525.0
145 Elegant 1.7/1.8 16V,1999,7,2021,15024.0
156 TS/Sport/Elegant 2.0 16V,2002,12,2008,41077.0
156 TS/Sport/Elegant 2.0 16V,2002,2,2019,26014.0
147 2.0 16V 148cv 4p Semi-Aut.,2005,2,2010,67143.0
145 QV,1998,3,2010,17624.0
2300 TI/TI-4,1986,3,2005,5894.0
155,1997,12,2021,14721.0
145 Quadrifoglio 2.0,1999,2,2003,24387.0
145 Quadrifoglio 2.0,1999,1,2018,14505.0
Spider 2.0/3.0,1997,2,2022,98217.0
156 Sport Wagon 2.0 16V,2002,12,2013,29975.0
145 Elegant 1.7/1.8 16V,1999,1,2007,19295.0
147 2.0 16V 148cv 4p Semi-Aut.,2005,1,2021,49843.0
155,1997,7,2007,17020.0
145 Quadrifoglio 2.0,1999,4,2021,13482.0
156 2.5 V6 24V 190cv 4p Aut.,2003,7,2021,54204.0
166 3.0 V6 24V,2003,6,2020,44916.0
164 Super V6 24V,1996,2,2007,18602.0
145 Elegant 2.0 16V,1998,8,2001,24983.0
155 Super,1997,7,2018,14533.0
164 3.0 V6,1996,10,2014,13365.0
145 Quadrifoglio 2.0,1999,9,2007,21502.0
145 Elegant 1.7/1.8 16V,1999,8,2020,12661.0
2300 TI/TI-4,1986,2,2022,7496.0
155,1997,1,2017,14217.0
Spider 2.0/3.0,1997,6,2013,66150.0
145 Elegant 2.0 16V,1998,1,2003,20683.0
164 Super V6 24V,1996,9,2012,16740.0
166 3.0 V6 24V,2003,12,2010,64148.0
Spider 2.0/3.0,1997,8,2016,65111.0
164 Super V6 24V,1996,3,2009,18553.0
145 QV,1998,9,2018,15351.0
155,1997,10,2007,16839.0
145 Elegant 2.0 16V,1998,6,2008,19126.0
2300 TI/TI-4,1986,7,2006,6353.0
156 Sport Wagon 2.5 V6 24V 4p Aut.,2022,12,2003,138602.0
166 3.0 V6 24V,2003,2,2016,53080.0
156 Sport Wagon 2.5 V6 24V 4p Aut.,2004,9,2010,56453.0
2300 TI/TI-4,1986,4,2012,7171.0
147 2.0 16V 148cv 4p Semi-Aut.,2005,6,2012,55749.0
147 2.0 16V 148cv 4p Semi-Aut.,2005,7,2021,50750.0
147 2.0 16V 148cv 4p Semi-Aut.,2005,7,2016,52896.0
155,1997,5,2006,17663.0
145 QV,1998,7,2005,22379.0
Spider 2.0/3.0,1997,7,2013,66071.0
164 3.0 V6,1996,1,2001,23172.0
145 Quadrifoglio 2.0,1999,9,2019,14239.0
156 Sport Wagon 2.0 16V,2002,8,2006,58373.0
164 Super V6 24V,1996,6,2010,17015.0
156 TS/Sport/Elegant 2.0 16V,2002,7,2011,29327.0
145 Elegant 2.0 16V,1998,10,2002,21438.0
145 Elegant 1.7/1.8 16V,1999,10,2001,25645.0
156 Sport Wagon 2.0 16V,2002,2,2010,37290.0
145 Elegant 2.0 16V,1998,1,2013,13802.0
145 Elegant 1.7/1.8 16V,1999,5,2009,17776.0
156 Sport Wagon 2.5 V6 24V 4p Aut.,2004,8,2022,48854.0
156 TS/Sport/Elegant 2.0 16V,2002,8,2015,28629.0
156 Sport Wagon 2.5 V6 24V 4p Aut.,2004,12,2013,45125.0
164 3.0 V6,1996,6,2018,12738.0
164 3.0 V6,1996,8,2017,13101.0
166 3.0 V6 24V,2003,8,2018,50194.0
156 Sport Wagon 2.0 16V,2002,4,2005,67436.0
156 Sport Wagon 2.0 16V,2002,9,2016,27148.0
164 3.0 V6,1996,10,2021,16618.0
147 2.0 16V 148cv 4p Semi-Aut.,2005,11,2018,49762.0
166 3.0 V6 24V,2003,3,2013,55636.0
164 3.0 V6,1996,5,2010,13973.0
166 3.0 V6 24V,2003,12,2009,74472.0
155,1997,6,2016,14240.0
145 Elegant 2.0 16V,1998,9,2010,15065.0
Spider 2.0/3.0,1997,11,2016,66392.0
147 2.0 16V 148cv 4p Semi-Aut.,2022,10,2003,108209.0
145 Elegant 2.0 16V,1998,3,2011,14973.0
147 2.0 16V 148cv 4p Semi-Aut.,2005,4,2021,49231.0
147 2.0 16V 148cv 4p Semi-Aut.,2022,11,2007,111555.0
156 Sport Wagon 2.0 16V,2002,8,2017,27265.0
145 Elegant 2.0 16V,1998,12,2001,23905.0
156 TS/Sport/Elegant 2.0 16V,2002,1,2019,26014.0
156 TS/Sport/Elegant 2.0 16V,2022,11,2003,76207.0
145 QV,1998,5,2020,14141.0
156 TS/Sport/Elegant 2.0 16V,2002,6,2016,26496.0
145 Quadrifoglio 2.0,1999,11,2014,16368.0
164 Super V6 24V,1996,7,2011,16392.0
145 Elegant 1.7/1.8 16V,1999,8,2012,16020.0
147 2.0 16V 148cv 4p Semi-Aut.,2022,2,2005,123371.0
145 QV,1998,3,2015,14578.0
156 2.5 V6 24V 190cv 4p Aut.,2003,1,2011,46569.0
155 Super,1997,10,2016,14989.0
166 3.0 V6 24V,2003,8,2013,59104.0
145 QV,1998,1,2004,21743.0
156 Sport Wagon 2.5 V6 24V 4p Aut.,2004,6,2017,41317.0
145 QV,1998,5,2019,14649.0
156 Sport Wagon 2.0 16V,2002,3,2006,63037.0
Spider 2.0/3.0,1997,8,2013,66070.0
Spider 2.0/3.0,1997,6,2018,65297.0
164 3.0 V6,1996,5,2006,16654.0
155 Super,1997,11,2015,15514.0
156 2.5 V6 24V 190cv 4p Aut.,2003,11,2011,46281.0
156 TS/Sport/Elegant 2.0 16V,2002,2,2017,25601.0
2300 TI/TI-4,1986,5,2016,7863.0
145 Quadrifoglio 2.0,1999,6,2005,23568.0
156 2.5 V6 24V 190cv 4p Aut.,2003,6,2010,48850.0
155,1997,3,2022,16498.0
164 3.0 V6,1996,6,2015,13130.0
156 Sport Wagon 2.0 16V,2002,8,2021,26686.0
145 Elegant 1.7/1.8 16V,1999,12,2015,14317.0
156 Sport Wagon 2.5 V6 24V 4p Aut.,2004,1,2022,38140.0
147 2.0 16V 148cv 4p Semi-Aut.,2005,5,2016,53859.0
145 Elegant 2.0 16V,1998,6,2010,15210.0
164 3.0 V6,1996,3,2022,18682.0
155 Super,1997,1,2011,17199.0
155,1997,1,2019,12687.0
Spider 2.0/3.0,1997,3,2017,66259.0
156 Sport Wagon 2.0 16V,2002,7,2012,33315.0
145 Quadrifoglio 2.0,1999,12,2008,21288.0
145 Quadrifoglio 2.0,1999,6,2004,23457.0
156 2.5 V6 24V 190cv 4p Aut.,2022,11,2005,131768.0
156 Sport Wagon 2.5 V6 24V 4p Aut.,2004,7,2013,45518.0
164 Super V6 24V,1996,5,2016,16840.0
145 Quadrifoglio 2.0,1999,8,2018,14421.0
155 Super,1997,11,2004,19174.0
145 Elegant 2.0 16V,1998,1,2005,20374.0
145 Elegant 1.7/1.8 16V,1999,3,2020,12841.0
156 2.5 V6 24V 190cv 4p Aut.,2003,3,2007,94102.0
145 Elegant 2.0 16V,1998,3,2017,13807.0
156 Sport Wagon 2.0 16V,2022,11,2003,84475.0
164 Super V6 24V,1996,9,2018,16107.0
164 Super V6 24V,1996,12,2015,16701.0
164 Super V6 24V,1996,8,2021,16914.0
166 3.0 V6 24V,2003,12,2006,114461.0
147 2.0 16V 148cv 4p Semi-Aut.,2005,1,2015,59484.0
156 Sport Wagon 2.0 16V,2002,4,2007,52401.0
145 Quadrifoglio 2.0,1999,1,2002,26052.0
145 Elegant 2.0 16V,1998,6,2002,21318.0
164 3.0 V6,1996,2,2008,15376.0
2300 TI/TI-4,1986,12,2002,3310.0
145 QV,1998,7,2020,14058.0
Spider 2.0/3.0,1997,2,2021,72431.0
164 3.0 V6,1996,11,2003,16133.0
155,1997,9,2014,14024.0
156 Sport Wagon 2.5 V6 24V 4p Aut.,2004,3,2011,54078.0
Spider 2.0/3.0,1997,2,2005,52119.0
145 Elegant 1.7/1.8 16V,1999,1,2018,13465.0
156 2.5 V6 24V 190cv 4p Aut.,2003,2,2017,43898.0
164 3.0 V6,1996,2,2016,13189.0
155,1997,11,2016,14055.0
155,1997,9,2010,15876.0
145 Elegant 1.7/1.8 16V,1999,10,2007,19089.0
145 Elegant 2.0 16V,1998,4,2003,20223.0
155 Super,1997,4,2010,18955.0
156 TS/Sport/Elegant 2.0 16V,2002,3,2004,64004.0
156 Sport Wagon 2.5 V6 24V 4p Aut.,2004,12,2012,43293.0
156 TS/Sport/Elegant 2.0 16V,2002,3,2016,26496.0
145 QV,1998,8,2021,14279.0
156 Sport Wagon 2.0 16V,2002,7,2022,34251.0
156 TS/Sport/Elegant 2.0 16V,2002,5,2005,62810.0
156 TS/Sport/Elegant 2.0 16V,2002,5,2007,50644.0
145 Elegant 1.7/1.8 16V,1999,6,2003,21258.0
2300 TI/TI-4,1986,3,2022,7863.0
145 Quadrifoglio 2.0,1999,11,2009,20041.0
164 Super V6 24V,1996,9,2004,18208.0
147 2.0 16V 148cv 4p Semi-Aut.,2005,10,2011,58133.0
156 Sport Wagon 2.0 16V,2002,9,2018,26552.0
145 QV,1998,12,2003,21825.0
Spider 2.0/3.0,1997,12,2012,65782.0
156 Sport Wagon 2.0 16V,2002,12,2020,25776.0
147 2.0 16V 148cv 4p Semi-Aut.,2005,11,2010,58442.0
145 QV,1998,11,2009,18298.0
156 TS/Sport/Elegant 2.0 16V,2002,1,2017,25681.0
145 QV,1998,1,2020,14309.0
156 Sport Wagon 2.0 16V,2002,8,2011,31201.0
145 Elegant 1.7/1.8 16V,1999,9,2013,15260.0
145 Quadrifoglio 2.0,1999,4,2002,25322.0
166 3.0 V6 24V,2003,6,2019,47021.0
145 QV,1998,11,2020,13895.0
145 Quadrifoglio 2.0,1999,5,2020,13909.0
164 3.0 V6,1996,10,2004,16619.0
156 Sport Wagon 2.5 V6 24V 4p Aut.,2004,9,2019,36988.0
156 Sport Wagon 2.5 V6 24V 4p Aut.,2022,1,2004,142306.0
145 Quadrifoglio 2.0,1999,2,2013,16246.0
156 Sport Wagon 2.0 16V,2002,4,2009,40742.0
Spider 2.0/3.0,1997,5,2009,46886.0
166 3.0 V6 24V,2003,12,2019,45943.0
156 TS/Sport/Elegant 2.0 16V,2002,11,2015,28344.0
145 QV,1998,11,2018,15530.0
155,1997,12,2014,14085.0
156 Sport Wagon 2.0 16V,2002,4,2004,70760.0
Spider 2.0/3.0,1997,6,2019,67103.0
156 2.5 V6 24V 190cv 4p Aut.,2003,3,2019,45674.0
156 TS/Sport/Elegant 2.0 16V,2002,6,2008,44546.0
156 Sport Wagon 2.0 16V,2002,1,2013,28366.0
Spider 2.0/3.0,1997,3,2014,63571.0
155,1997,3,2001,24487.0
156 Sport Wagon 2.5 V6 24V 4p Aut.,2022,2,2006,140871.0
156 TS/Sport/Elegant 2.0 16V,2002,3,2009,38464.0
155,1997,10,2004,18147.0
147 2.0 16V 148cv 4p Semi-Aut.,2005,4,2022,61537.0
145 QV,1998,7,2001,26201.0
145 Elegant 2.0 16V,1998,11,2005,19819.0
145 Quadrifoglio 2.0,1999,1,2013,15840.0
145 Elegant 1.7/1.8 16V,1999,2,2003,21760.0
166 3.0 V6 24V,2003,6,2021,45177.0
2300 TI/TI-4,1986,4,2006,6498.0
Spider 2.0/3.0,1997,2,2006,58625.0